广州期货交易所期货历史行情表(2025)
交易日期,品种名称,交割月份,合约代码,前结算价,开盘价,最高价,最低价,收盘价,结算价,涨跌,涨跌1,成交量,持仓量,持仓量变化,成交额
20250102,碳酸锂,2501,lc2501,73600.00,73600.00,74620.00,73540.00,73840.00,73880.00,240.00,280.00,5047,13122,-10722,372875580
20250102,碳酸锂,2502,lc2502,74040.00,74640.00,75220.00,73800.00,74500.00,74480.00,460.00,440.00,13464,28006,-764,1003000300
20250102,碳酸锂,2503,lc2503,74440.00,74480.00,75600.00,74200.00,74880.00,74840.00,440.00,400.00,18116,60192,9,1356053480
20250102,碳酸锂,2504,lc2504,76880.00,76200.00,78120.00,76200.00,77300.00,77000.00,420.00,120.00,7453,33266,-1330,573951980
20250102,碳酸锂,2505,lc2505,77360.00,77120.00,78580.00,77120.00,77800.00,77860.00,440.00,500.00,163323,183460,-255,12716651540
20250102,碳酸锂,2506,lc2506,77400.00,77680.00,78580.00,77680.00,77900.00,77920.00,500.00,520.00,488,6816,-66,38029080
20250102,碳酸锂,2507,lc2507,77780.00,77660.00,78960.00,77660.00,78180.00,78260.00,400.00,480.00,4867,20407,-95,380907020
20250102,碳酸锂,2508,lc2508,79500.00,79440.00,80560.00,79440.00,79920.00,80100.00,420.00,600.00,538,10077,15,43096720
20250102,碳酸锂,2509,lc2509,79800.00,79820.00,80740.00,79740.00,80060.00,80140.00,260.00,340.00,734,5565,310,58835800
20250102,碳酸锂,2510,lc2510,80080.00,80200.00,80980.00,80160.00,80360.00,80480.00,280.00,400.00,180,2305,110,14488340
20250102,碳酸锂,2511,lc2511,80480.00,80560.00,81160.00,80500.00,80660.00,80700.00,180.00,220.00,69,449,11,5568980
20250102,碳酸锂,2512,lc2512,82200.00,82340.00,82800.00,82280.00,82440.00,82560.00,240.00,360.00,52,66,9,4293560
20250102,多晶硅,2506,ps2506,42455.00,42315.00,42680.00,42315.00,42570.00,42495.00,115.00,40.00,36858,30447,-1093,4699125375
20250102,多晶硅,2507,ps2507,42450.00,42450.00,42675.00,42370.00,42575.00,42475.00,125.00,25.00,662,1740,-391,84364740
20250102,多晶硅,2508,ps2508,42435.00,42570.00,42700.00,42465.00,42550.00,42590.00,115.00,155.00,76,469,0,9710985
20250102,多晶硅,2509,ps2509,42485.00,42605.00,42745.00,42405.00,42635.00,42600.00,150.00,115.00,66,613,12,8435715
20250102,多晶硅,2510,ps2510,42540.00,42555.00,42745.00,42525.00,42620.00,42635.00,80.00,95.00,90,244,1,11511720
20250102,多晶硅,2511,ps2511,42525.00,42625.00,42795.00,42505.00,42715.00,42660.00,190.00,135.00,254,2493,-42,32508405
20250102,多晶硅,2512,ps2512,43925.00,44000.00,44275.00,43865.00,44080.00,44065.00,155.00,140.00,446,2218,-145,58959240
20250102,工业硅,2501,si2501,10970.00,10400.00,11065.00,10400.00,10980.00,10960.00,10.00,-10.00,1627,3904,-9602,89180650
20250102,工业硅,2502,si2502,11045.00,11005.00,11130.00,10980.00,11050.00,11045.00,5.00,0.00,128281,115469,-33005,7084572300
20250102,工业硅,2503,si2503,11080.00,11020.00,11175.00,11020.00,11100.00,11080.00,20.00,0.00,46628,69969,2723,2583809250
20250102,工业硅,2504,si2504,11155.00,11155.00,11220.00,11070.00,11140.00,11140.00,-15.00,-15.00,10566,20003,3967,588627025
20250102,工业硅,2505,si2505,11175.00,11110.00,11270.00,11110.00,11180.00,11185.00,5.00,10.00,24783,88256,2045,1386196000
20250102,工业硅,2506,si2506,11210.00,11210.00,11295.00,11185.00,11215.00,11210.00,5.00,0.00,4343,2917,2340,243501800
20250102,工业硅,2507,si2507,11220.00,11235.00,11310.00,11235.00,11265.00,11275.00,45.00,55.00,11,225,2,620150
20250102,工业硅,2508,si2508,11525.00,11335.00,11405.00,11315.00,11315.00,11340.00,-210.00,-185.00,5,87,1,283600
20250102,工业硅,2509,si2509,11325.00,11335.00,11435.00,11295.00,11350.00,11355.00,25.00,30.00,147,1510,4,8348700
20250102,工业硅,2510,si2510,11355.00,11360.00,11360.00,11360.00,11360.00,11360.00,5.00,5.00,1,114,-1,56800
20250102,工业硅,2511,si2511,11435.00,11485.00,11490.00,11405.00,11415.00,11440.00,-20.00,5.00,15,180,4,858025
20250102,工业硅,2512,si2512,11885.00,11860.00,12025.00,11860.00,11950.00,11960.00,65.00,75.00,19,92,13,1136625
20250103,碳酸锂,2501,lc2501,73880.00,73880.00,73880.00,73000.00,73020.00,73240.00,-860.00,-640.00,3358,8307,-4815,245950560
20250103,碳酸锂,2502,lc2502,74480.00,74300.00,74520.00,73300.00,73520.00,73680.00,-960.00,-800.00,11303,25890,-2116,832945200
20250103,碳酸锂,2503,lc2503,74840.00,74400.00,74960.00,73600.00,73820.00,73980.00,-1020.00,-860.00,22386,57396,-2796,1656180020
20250103,碳酸锂,2504,lc2504,77000.00,77000.00,77360.00,75680.00,75960.00,76240.00,-1040.00,-760.00,8210,30364,-2902,625980500
20250103,碳酸锂,2505,lc2505,77860.00,77560.00,77720.00,76000.00,76380.00,76500.00,-1480.00,-1360.00,188527,188017,4557,14422369180
20250103,碳酸锂,2506,lc2506,77920.00,77620.00,77620.00,76280.00,76460.00,76580.00,-1460.00,-1340.00,269,6786,-30,20602920
20250103,碳酸锂,2507,lc2507,78260.00,78020.00,78020.00,76500.00,76780.00,77260.00,-1480.00,-1000.00,5567,18701,-1706,430162260
20250103,碳酸锂,2508,lc2508,80100.00,79540.00,79540.00,78420.00,78600.00,78860.00,-1500.00,-1240.00,618,10019,-58,48738780
20250103,碳酸锂,2509,lc2509,80140.00,79620.00,79800.00,78760.00,78860.00,79200.00,-1280.00,-940.00,841,5405,-160,66608960
20250103,碳酸锂,2510,lc2510,80480.00,79920.00,80160.00,79060.00,79220.00,79480.00,-1260.00,-1000.00,62,2319,14,4928640
20250103,碳酸锂,2511,lc2511,80700.00,80660.00,80660.00,79380.00,79460.00,79800.00,-1240.00,-900.00,118,475,26,9417140
20250103,碳酸锂,2512,lc2512,82560.00,82300.00,82300.00,81340.00,81440.00,81640.00,-1120.00,-920.00,57,82,16,4653500
20250103,多晶硅,2506,ps2506,42495.00,42570.00,42780.00,42365.00,42560.00,42520.00,65.00,25.00,37079,29242,-1205,4729803630
20250103,多晶硅,2507,ps2507,42475.00,42570.00,42780.00,42405.00,42550.00,42545.00,75.00,70.00,277,1677,-63,35356665
20250103,多晶硅,2508,ps2508,42590.00,42615.00,42685.00,42465.00,42615.00,42635.00,25.00,45.00,86,416,-53,11000235
20250103,多晶硅,2509,ps2509,42600.00,42630.00,42725.00,42505.00,42660.00,42620.00,60.00,20.00,38,597,-16,4859235
20250103,多晶硅,2510,ps2510,42635.00,42660.00,42715.00,42545.00,42665.00,42640.00,30.00,5.00,40,232,-12,5117100
20250103,多晶硅,2511,ps2511,42660.00,42695.00,42800.00,42545.00,42660.00,42650.00,0.00,-10.00,213,2424,-69,27254535
20250103,多晶硅,2512,ps2512,44065.00,44065.00,44230.00,43945.00,44100.00,44060.00,35.00,-5.00,297,2171,-47,39260925
20250103,工业硅,2501,si2501,10960.00,10960.00,10960.00,10760.00,10785.00,10910.00,-175.00,-50.00,905,3853,-51,49367925
20250103,工业硅,2502,si2502,11045.00,11020.00,11075.00,10725.00,10780.00,10870.00,-265.00,-175.00,144663,115916,447,7864149150
20250103,工业硅,2503,si2503,11080.00,11090.00,11120.00,10780.00,10825.00,10925.00,-255.00,-155.00,50111,76133,6164,2738265225
20250103,工业硅,2504,si2504,11140.00,11140.00,11160.00,10825.00,10870.00,10965.00,-270.00,-175.00,31050,25795,5792,1702411625
20250103,工业硅,2505,si2505,11185.00,11160.00,11210.00,10885.00,10925.00,11000.00,-260.00,-185.00,39044,96630,8374,2148238700
20250103,工业硅,2506,si2506,11210.00,11210.00,11225.00,10925.00,10975.00,11010.00,-235.00,-200.00,4502,4318,1401,247940925
20250103,工业硅,2507,si2507,11275.00,11090.00,11115.00,10990.00,10990.00,11065.00,-285.00,-210.00,3,224,-1,165975
20250103,工业硅,2508,si2508,11340.00,11140.00,11140.00,11105.00,11105.00,11130.00,-235.00,-210.00,11,85,-2,612225
20250103,工业硅,2509,si2509,11355.00,11360.00,11370.00,11060.00,11105.00,11145.00,-250.00,-210.00,443,1663,153,24686875
20250103,工业硅,2510,si2510,11360.00,11170.00,11240.00,11120.00,11170.00,11180.00,-190.00,-180.00,24,128,14,1341650
20250103,工业硅,2511,si2511,11440.00,11365.00,11365.00,11180.00,11195.00,11250.00,-245.00,-190.00,106,262,82,5963200
20250103,工业硅,2512,si2512,11960.00,12000.00,12000.00,11775.00,11825.00,11870.00,-135.00,-90.00,20,92,0,1187025
20250106,碳酸锂,2501,lc2501,73240.00,73240.00,75700.00,73240.00,74660.00,74960.00,1420.00,1720.00,1693,6511,-1796,126914760
20250106,碳酸锂,2502,lc2502,73680.00,73900.00,76000.00,73720.00,74700.00,75040.00,1020.00,1360.00,16802,23648,-2242,1261006700
20250106,碳酸锂,2503,lc2503,73980.00,73980.00,76360.00,73980.00,75060.00,75340.00,1080.00,1360.00,29179,54998,-2398,2198416680
20250106,碳酸锂,2504,lc2504,76240.00,76240.00,78880.00,76240.00,77280.00,77880.00,1040.00,1640.00,9653,31413,1049,751823160
20250106,碳酸锂,2505,lc2505,76500.00,76680.00,79340.00,76600.00,77660.00,78140.00,1160.00,1640.00,298136,183347,-4670,23296814600
20250106,碳酸锂,2506,lc2506,76580.00,76980.00,79380.00,76980.00,77720.00,78400.00,1140.00,1820.00,404,6800,14,31675420
20250106,碳酸锂,2507,lc2507,77260.00,76700.00,79620.00,76700.00,77960.00,78580.00,700.00,1320.00,6629,18782,81,521026020
20250106,碳酸锂,2508,lc2508,78860.00,79180.00,81180.00,79060.00,79560.00,80560.00,700.00,1700.00,1171,10225,206,94344800
20250106,碳酸锂,2509,lc2509,79200.00,78900.00,81380.00,78900.00,79880.00,80800.00,680.00,1600.00,746,5484,79,60278240
20250106,碳酸锂,2510,lc2510,79480.00,79920.00,81680.00,79720.00,80220.00,80800.00,740.00,1320.00,56,2322,3,4525700
20250106,碳酸锂,2511,lc2511,79800.00,80400.00,81780.00,80080.00,80560.00,81000.00,760.00,1200.00,86,463,-12,6966480
20250106,碳酸锂,2512,lc2512,81640.00,82280.00,83880.00,81760.00,82280.00,82620.00,640.00,980.00,49,81,-1,4048660
20250106,多晶硅,2506,ps2506,42520.00,42600.00,43600.00,42560.00,43325.00,43150.00,805.00,630.00,68310,31663,2421,8843222205
20250106,多晶硅,2507,ps2507,42545.00,42670.00,43555.00,42620.00,43245.00,43140.00,700.00,595.00,1293,2097,420,167342325
20250106,多晶硅,2508,ps2508,42635.00,42655.00,43615.00,42655.00,43380.00,43210.00,745.00,575.00,331,419,3,42908355
